Title,Classic Trivia Night
Author,Sample Game

Round,Category,Value,Clue,Answer,DailyDouble
2,CLASSIC LITERATURE,800,This Herman Melville novel follows Captain Ahab's hunt for a white whale.,What is Moby-Dick?,
2,CLASSIC LITERATURE,1200,"This dystopian George Orwell novel introduced the phrase ""Big Brother is watching.""",What is 1984?,
2,CLASSIC LITERATURE,1600,This Harper Lee novel is narrated by a young girl named Scout Finch.,What is To Kill a Mockingbird?,
2,CLASSIC LITERATURE,2000,This epic poem by Homer follows Odysseus's long journey home after the Trojan War.,What is the Odyssey?,
2,SPORTS,400,This sport is played at Wimbledon.,What is tennis?,
2,SPORTS,800,This country has won the most FIFA World Cup titles.,What is Brazil?,
2,SPORTS,1200,"This NBA player is nicknamed ""King James.""",Who is LeBron James?,
2,SPORTS,1600,"This event, first held in 776 BC in Greece, revived in 1896 in Athens.",What are the Olympic Games?,
2,SPORTS,2000,"This boxer famously said, ""Float like a butterfly, sting like a bee.""",Who is Muhammad Ali?,
2,TV SITCOMS,400,This NBC sitcom was set in a coffee shop called Central Perk.,What is Friends?,
2,TV SITCOMS,800,This mockumentary-style sitcom is set at Dunder Mifflin Paper Company.,What is The Office?,
2,TV SITCOMS,1200,"This sitcom about ""four single friends living in Manhattan"" starred Sarah Jessica Parker.",What is Sex and the City?,
2,TV SITCOMS,1600,This animated sitcom follows the Simpson family in the town of Springfield.,What is The Simpsons?,
2,TV SITCOMS,2000,"This sitcom's theme song ends with ""I'll be there for you,"" performed by The Rembrandts.",What is Friends?,TRUE
2,MYTHOLOGY,400,This Greek god of the sea carries a trident.,Who is Poseidon?,
2,MYTHOLOGY,800,This Norse god of thunder wields a hammer called Mjolnir.,Who is Thor?,
2,MYTHOLOGY,1200,"In Greek myth, this hero must complete twelve labors.",Who is Hercules?,
2,MYTHOLOGY,1600,This winged horse sprang from the blood of Medusa.,What is Pegasus?,
2,MYTHOLOGY,2000,This Egyptian god of the afterlife has the head of a jackal.,Who is Anubis?,
Final,WORLD LANDMARKS,,"Completed in 1889 as a temporary entrance arch, this Paris landmark was almost torn down in 1909.",What is the Eiffel Tower?,
